"Start Date","01/01/2013"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTI","Vanguard Total Stock Market ETF","11.20%"
"VEA","Vanguard FTSE Developed Markets ETF","8.40%"
"VWO","Vanguard FTSE Emerging Markets ETF","6.51%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","2.78%"
"SCHH","Schwab US REIT ETF","3.61%"
"IEMG","iShares Core MSCI Emerging Markets ETF","6.36%"
"SCHE","Schwab Emerging Markets Equity ETF","6.66%"
"SCHF","Schwab International Equity ETF","8.23%"
"ITOT","iShares Core S&P Total US Stock Mkt ETF","11.29%"
"SCHB","Schwab US Broad Market ETF","11.09%"
"IXUS","iShares Core MSCI Total Intl Stk ETF","8.47%"
"VNQ","Vanguard Real Estate ETF","3.67%"
"EMLC","VanEck Vectors JP Morgan EM LC Bd ETF","4.84%"
"PCY","Invesco Emerging Markets Sov Debt ETF","3.16%"
"IYR","iShares US Real Estate ETF","3.73%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$15,769"
"End Balance (inflation adjusted)","$14,324"
"CAGR","7.56%"
"CAGR (inflation adjusted)","5.92%"
"Stdev","10.28%"
"Best Year","22.41%"
"Worst Year","-9.49%"
"Max. Drawdown","-13.34%"
"Sharpe Ratio","0.71"
"Sortino Ratio","1.13"
"US Stock Market Correlation","0.88"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.65%"
"Arithmetic Mean (annualized)","8.12%"
"Geometric Mean (monthly)","0.61%"
"Geometric Mean (annualized)","7.56%"
"Volatility (monthly)","2.97%"
"Volatility (annualized)","10.28%"
"Downside Deviation (monthly)","1.83%"
"Max. Drawdown","-13.34%"
"US Market Correlation","0.88"
"Beta (*)","0.81"
"Alpha (annualized)","-3.03%"
"R Squared","78.21%"
"Sharpe Ratio","0.71"
"Sortino Ratio","1.13"
"Treynor Ratio (%)","8.99"
"Calmar Ratio","0.72"
"Active Return","-5.99%"
"Tracking Error","5.25%"
"Information Ratio","-1.14"
"Skewness","-0.14"
"Excess Kurtosis","0.85"
"Historical Value-at-Risk (5%)","-5.04%"
"Analytical Value-at-Risk (5%)","-4.21%"
"Conditional Value-at-Risk (5%)","-6.40%"
"Upside Capture Ratio (%)","72.25"
"Downside Capture Ratio (%)","97.21"
"Safe Withdrawal Rate","20.38%"
"Perpetual Withdrawal Rate","5.81%"
"Positive Periods","45 out of 75 (60.00%)"
"Gain/Loss Ratio","1.19"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","iShares JP Morgan USD Em Mkts Bd ETF (EMB)","Schwab US REIT ETF (SCHH)","iShares Core MSCI Emerging Markets ETF (IEMG)","Schwab Emerging Markets Equity ETF (SCHE)","Schwab International Equity ETF (SCHF)","iShares Core S&P Total US Stock Mkt ETF (ITOT)","Schwab US Broad Market ETF (SCHB)","iShares Core MSCI Total Intl Stk ETF (IXUS)","Vanguard Real Estate ETF (VNQ)","VanEck Vectors JP Morgan EM LC Bd ETF (EMLC)","Invesco Emerging Markets Sov Debt ETF (PCY)","iShares US Real Estate ETF (IYR)"
"3","May 2013","Jun 2013","2 months","Sep 2013","3 months","5 months","-4.98%"
"4","Sep 2014","Sep 2014","1 month","Feb 2015","5 months","6 months","-4.27%"
"5","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-3.82%"
"6","Oct 2016","Nov 2016","2 months","Jan 2017","2 months","4 months","-2.78%"
"7","Mar 2015","Mar 2015","1 month","Apr 2015","1 month","2 months","-1.03%"
"8","Jul 2014","Jul 2014","1 month","Aug 2014","1 month","2 months","-0.92%"
"9","Feb 2013","Feb 2013","1 month","Mar 2013","1 month","2 months","-0.14%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"VTI","Vanguard Total Stock Market ETF","13.67%","11.27%","33.45%","-5.21%","-14.20%","1.15","1.89","1.00"
"VEA","Vanguard FTSE Developed Markets ETF","5.49%","11.87%","26.42%","-14.75%","-18.62%","0.46","0.72","0.81"
"VWO","Vanguard FTSE Emerging Markets ETF","1.89%","15.11%","31.48%","-15.81%","-29.25%","0.16","0.24","0.62"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","2.99%","6.91%","10.28%","-7.79%","-11.28%","0.38","0.57","0.29"
"SCHH","Schwab US REIT ETF","8.91%","14.53%","31.87%","-4.22%","-14.79%","0.62","1.02","0.51"
"IEMG","iShares Core MSCI Emerging Markets ETF","2.08%","14.80%","37.40%","-14.92%","-28.91%","0.18","0.26","0.62"
"SCHE","Schwab Emerging Markets Equity ETF","2.21%","15.32%","32.67%","-16.33%","-29.33%","0.18","0.28","0.62"
"SCHF","Schwab International Equity ETF","4.84%","11.59%","26.00%","-14.32%","-19.29%","0.42","0.64","0.81"
"ITOT","iShares Core S&P Total US Stock Mkt ETF","13.86%","11.20%","33.31%","-5.31%","-14.20%","1.17","1.92","1.00"
"SCHB","Schwab US Broad Market ETF","13.62%","11.20%","33.20%","-5.30%","-14.30%","1.15","1.89","1.00"
"IXUS","iShares Core MSCI Total Intl Stk ETF","4.37%","11.69%","28.14%","-14.40%","-20.28%","0.38","0.58","0.79"
"VNQ","Vanguard Real Estate ETF","9.03%","14.63%","30.36%","-6.02%","-14.88%","0.63","1.02","0.51"
"EMLC","VanEck Vectors JP Morgan EM LC Bd ETF","-2.64%","10.90%","13.84%","-15.07%","-28.82%","-0.24","-0.31","0.31"
"PCY","Invesco Emerging Markets Sov Debt ETF","3.04%","8.08%","9.70%","-10.26%","-13.78%","0.34","0.50","0.26"
"IYR","iShares US Real Estate ETF","8.92%","13.59%","26.69%","-4.30%","-14.49%","0.66","1.08","0.55"

"Monthly Correlations"

"Ticker","Name","VTI","VEA","VWO","EMB","SCHH","IEMG","SCHE","SCHF","ITOT","SCHB","IXUS","VNQ","EMLC","PCY","IYR","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","-","0.81","0.62","0.30","0.51","0.62","0.62","0.81","1.00","1.00","0.80","0.51","0.32","0.26","0.55","0.89"
"VEA","Vanguard FTSE Developed Markets ETF","0.81","-","0.79","0.56","0.43","0.81","0.79","1.00","0.80","0.81","0.98","0.43","0.60","0.53","0.48","0.93"
"VWO","Vanguard FTSE Emerging Markets ETF","0.62","0.79","-","0.68","0.37","0.99","1.00","0.80","0.62","0.62","0.88","0.38","0.80","0.64","0.44","0.88"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","0.30","0.56","0.68","-","0.46","0.68","0.68","0.57","0.29","0.30","0.62","0.49","0.80","0.98","0.53","0.62"
"SCHH","Schwab US REIT ETF","0.51","0.43","0.37","0.46","-","0.36","0.36","0.41","0.51","0.51","0.40","1.00","0.34","0.50","0.99","0.60"
"IEMG","iShares Core MSCI Emerging Markets ETF","0.62","0.81","0.99","0.68","0.36","-","0.99","0.82","0.62","0.62","0.89","0.38","0.79","0.63","0.44","0.88"
"SCHE","Schwab Emerging Markets Equity ETF","0.62","0.79","1.00","0.68","0.36","0.99","-","0.81","0.62","0.62","0.88","0.37","0.81","0.64","0.43","0.88"
"SCHF","Schwab International Equity ETF","0.81","1.00","0.80","0.57","0.41","0.82","0.81","-","0.80","0.81","0.99","0.41","0.61","0.53","0.47","0.93"
"ITOT","iShares Core S&P Total US Stock Mkt ETF","1.00","0.80","0.62","0.29","0.51","0.62","0.62","0.80","-","1.00","0.79","0.51","0.31","0.26","0.55","0.88"
"SCHB","Schwab US Broad Market ETF","1.00","0.81","0.62","0.30","0.51","0.62","0.62","0.81","1.00","-","0.79","0.51","0.31","0.26","0.55","0.89"
"IXUS","iShares Core MSCI Total Intl Stk ETF","0.80","0.98","0.88","0.62","0.40","0.89","0.88","0.99","0.79","0.79","-","0.41","0.67","0.58","0.47","0.95"
"VNQ","Vanguard Real Estate ETF","0.51","0.43","0.38","0.49","1.00","0.38","0.37","0.41","0.51","0.51","0.41","-","0.36","0.53","0.99","0.61"
"EMLC","VanEck Vectors JP Morgan EM LC Bd ETF","0.32","0.60","0.80","0.80","0.34","0.79","0.81","0.61","0.31","0.31","0.67","0.36","-","0.77","0.41","0.66"
"PCY","Invesco Emerging Markets Sov Debt ETF","0.26","0.53","0.64","0.98","0.50","0.63","0.64","0.53","0.26","0.26","0.58","0.53","0.77","-","0.56","0.59"
"IYR","iShares US Real Estate ETF","0.55","0.48","0.44","0.53","0.99","0.44","0.43","0.47","0.55","0.55","0.47","0.99","0.41","0.56","-","0.66"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","$1,140"
"VEA","Vanguard FTSE Developed Markets ETF","$364"
"VWO","Vanguard FTSE Emerging Markets ETF","$155"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","$70.36"
"SCHH","Schwab US REIT ETF","$255"
"IEMG","iShares Core MSCI Emerging Markets ETF","$165"
"SCHE","Schwab Emerging Markets Equity ETF","$176"
"SCHF","Schwab International Equity ETF","$316"
"ITOT","iShares Core S&P Total US Stock Mkt ETF","$1,164"
"SCHB","Schwab US Broad Market ETF","$1,125"
"IXUS","iShares Core MSCI Total Intl Stk ETF","$305"
"VNQ","Vanguard Real Estate ETF","$262"
"EMLC","VanEck Vectors JP Morgan EM LC Bd ETF","-$74.83"
"PCY","Invesco Emerging Markets Sov Debt ETF","$83.57"
"IYR","iShares US Real Estate ETF","$264"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","10.89%"
"VEA","Vanguard FTSE Developed Markets ETF","9.02%"
"VWO","Vanguard FTSE Emerging Markets ETF","8.40%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","1.17%"
"SCHH","Schwab US REIT ETF","3.06%"
"IEMG","iShares Core MSCI Emerging Markets ETF","8.06%"
"SCHE","Schwab Emerging Markets Equity ETF","8.70%"
"SCHF","Schwab International Equity ETF","8.65%"
"ITOT","iShares Core S&P Total US Stock Mkt ETF","10.88%"
"SCHB","Schwab US Broad Market ETF","10.72%"
"IXUS","iShares Core MSCI Total Intl Stk ETF","9.16%"
"VNQ","Vanguard Real Estate ETF","3.17%"
"EMLC","VanEck Vectors JP Morgan EM LC Bd ETF","3.39%"
"PCY","Invesco Emerging Markets Sov Debt ETF","1.47%"
"IYR","iShares US Real Estate ETF","3.25%"

"Rolling Returns"

"Year","Portfolio 1 3-year annualized return","Portfolio 1 5-year annualized return"
"2015","5.24%","N/A"
"2016","3.73%","N/A"
"2017","8.76%","9.28%"
"2018","6.57%","4.34%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"The annual results for 2019 are based on full calendar months from January to March"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns excluding cashflows"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
"The results use total return and assume that all received dividends and distributions are reinvested. Taxes and transaction fees are not included"
"Portfolio cashflows and rebalancing for quarterly and annual periods are aligned with calendar periods."
"Fund fundamentals data as of 04/03/2019. (c) 2019 Morningstar. All Rights Reserved. The fund fundamentals information contained herein: (1) is proprietary to Morningstar and/or its content providers; (2) may not be copied or distributed; and (3) is not warranted to be accurate, complete or timely. Neither Morningstar nor its content providers are responsible for any damages or losses arising from any use of this information."
