"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"CASHX","Cash","7.06%"
"SCHH","Schwab US REIT ETF","3.15%"
"IEMG","iShares Core MSCI Emerging Markets ETF","2.43%"
"IAU","iShares Gold Trust","1.94%"
"SCHE","Schwab Emerging Markets Equity ETF","0.40%"
"FNDE","Schwab Fundamental Emerg Mkts Lg Co ETF","4.66%"
"FNDF","Schwab Fundamental Intl Lg Co ETF","11.63%"
"FNDC","Schwab Fundamental Intl Sm Co ETF","4.77%"
"FNDX","Schwab Fundamental US Large Company ETF","16.18%"
"FNDA","Schwab Fundamental US Small Company ETF","10.52%"
"SCHR","Schwab Intermediate-Term US Trs ETF","2.10%"
"SCHF","Schwab International Equity ETF","7.76%"
"SCHC","Schwab International Small-Cap Eq ETF","3.88%"
"SCHX","Schwab US Large-Cap ETF","7.42%"
"SCHA","Schwab US Small-Cap ETF","6.31%"
"SCHP","Schwab US TIPS ETF","2.02%"
"EBND","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF","1.96%"
"VNQI","Vanguard Global ex-US Real Est ETF","1.91%"
"VOO","Vanguard S&P 500 ETF","3.90%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$13,264"
"End Balance (inflation adjusted)","$12,229"
"CAGR","5.53%"
"CAGR (inflation adjusted)","3.91%"
"Stdev","9.64%"
"Best Year","18.45%"
"Worst Year","-9.36%"
"Max. Drawdown","-12.68%"
"Sharpe Ratio","0.54"
"Sortino Ratio","0.82"
"US Stock Market Correlation","0.95"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.49%"
"Arithmetic Mean (annualized)","6.01%"
"Geometric Mean (monthly)","0.45%"
"Geometric Mean (annualized)","5.53%"
"Volatility (monthly)","2.78%"
"Volatility (annualized)","9.64%"
"Downside Deviation (monthly)","1.82%"
"Max. Drawdown","-12.68%"
"US Market Correlation","0.95"
"Beta (*)","0.80"
"Alpha (annualized)","-2.37%"
"R Squared","89.76%"
"Sharpe Ratio","0.54"
"Sortino Ratio","0.82"
"Treynor Ratio (%)","6.54"
"Calmar Ratio","0.70"
"Active Return","-4.59%"
"Tracking Error","3.88%"
"Information Ratio","-1.19"
"Skewness","-0.22"
"Excess Kurtosis","1.25"
"Historical Value-at-Risk (5%)","-5.13%"
"Analytical Value-at-Risk (5%)","-4.06%"
"Conditional Value-at-Risk (5%)","-6.18%"
"Upside Capture Ratio (%)","71.11"
"Downside Capture Ratio (%)","89.45"
"Safe Withdrawal Rate","21.71%"
"Perpetual Withdrawal Rate","3.95%"
"Positive Periods","41 out of 63 (65.08%)"
"Gain/Loss Ratio","0.87"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Cash (CASHX)","Schwab US REIT ETF (SCHH)","iShares Core MSCI Emerging Markets ETF (IEMG)","iShares Gold Trust (IAU)","Schwab Emerging Markets Equity ETF (SCHE)","Schwab Fundamental Emerg Mkts Lg Co ETF (FNDE)","Schwab Fundamental Intl Lg Co ETF (FNDF)","Schwab Fundamental Intl Sm Co ETF (FNDC)","Schwab Fundamental US Large Company ETF (FNDX)","Schwab Fundamental US Small Company ETF (FNDA)","Schwab Intermediate-Term US Trs ETF (SCHR)","Schwab International Equity ETF (SCHF)","Schwab International Small-Cap Eq ETF (SCHC)","Schwab US Large-Cap ETF (SCHX)","Schwab US Small-Cap ETF (SCHA)","Schwab US TIPS ETF (SCHP)","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF (EBND)","Vanguard Global ex-US Real Est ETF (VNQI)","Vanguard S&P 500 ETF (VOO)"
"VNQI","Vanguard Global ex-US Real Est ETF","Global Real Estate","","0.12%","1.91%","$69.56","1.97%"
"VOO","Vanguard S&P 500 ETF","Large Blend","","0.04%","3.90%","$241","4.23%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","46.99%"
"Intl Stocks","37.61%"
"US Bonds","4.12%"
"Intl Bonds","1.93%"
"Other","2.04%"
"Cash","7.32%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","57.21%"
"Mid Cap","24.77%"
"Small Cap","18.02%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","6.12%"
"Consumer Cyclical","12.04%"
"Financial Services","15.05%"
"Real Estate","10.41%"
"Consumer Defensive","7.46%"
"Healthcare","8.32%"
"Utilities","3.47%"
"Communication Services","3.74%"
"Energy","7.53%"
"Industrials","12.41%"
"Technology","13.46%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","68.10%"
"AA","5.19%"
"A","9.30%"
"BBB","10.35%"
"Non-Investment Grade","6.88%"
"Not Rated","0.17%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","39.41%"
"1 - 3 Years","9.24%"
"3 - 5 Years","18.19%"
"5 - 7 Years","12.49%"
"7 - 10 Years","12.78%"
"10 - 15 Years","2.53%"
"15 - 20 Years","1.10%"
"20 - 30 Years","4.14%"
"Over 30 Years","0.13%"

"Drawdowns for Portfolio 1"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Feb 2018","Dec 2018","11 months","","","","-12.68%"
"2","May 2015","Jan 2016","9 months","Jul 2016","6 months","1 year 3 months","-11.50%"
"3","Sep 2014","Sep 2014","1 month","Feb 2015","5 months","6 months","-3.92%"
"4","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-3.24%"
"5","Jul 2014","Jul 2014","1 month","Aug 2014","1 month","2 months","-1.92%"
"6","Oct 2016","Oct 2016","1 month","Nov 2016","1 month","2 months","-1.75%"
"7","Mar 2015","Mar 2015","1 month","Apr 2015","1 month","2 months","-0.91%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"CASHX","Cash","0.64%","0.23%","1.80%","0.00%","0.00%","N/A","N/A","0.01"
"SCHH","Schwab US REIT ETF","10.43%","14.49%","31.87%","-4.22%","-14.79%","0.71","1.22","0.54"
"IEMG","iShares Core MSCI Emerging Markets ETF","3.03%","15.34%","37.40%","-14.92%","-28.91%","0.23","0.34","0.65"
"IAU","iShares Gold Trust","1.11%","13.60%","12.91%","-10.58%","-20.57%","0.10","0.16","-0.15"
"SCHE","Schwab Emerging Markets Equity ETF","3.51%","15.70%","32.67%","-16.33%","-29.33%","0.26","0.39","0.64"
"FNDE","Schwab Fundamental Emerg Mkts Lg Co ETF","2.55%","18.39%","32.58%","-20.15%","-36.92%","0.19","0.30","0.56"
"FNDF","Schwab Fundamental Intl Lg Co ETF","2.03%","12.16%","23.95%","-14.26%","-23.07%","0.17","0.25","0.79"
"FNDC","Schwab Fundamental Intl Sm Co ETF","4.17%","11.60%","29.20%","-19.13%","-22.41%","0.35","0.53","0.82"
"FNDX","Schwab Fundamental US Large Company ETF","8.68%","11.13%","17.11%","-7.31%","-13.83%","0.75","1.16","0.97"
"FNDA","Schwab Fundamental US Small Company ETF","6.95%","14.56%","23.54%","-12.09%","-20.42%","0.49","0.75","0.91"
"SCHR","Schwab Intermediate-Term US Trs ETF","2.28%","3.20%","4.45%","0.95%","-4.32%","0.52","0.89","-0.30"
"SCHF","Schwab International Equity ETF","2.35%","11.52%","26.00%","-14.32%","-19.29%","0.20","0.29","0.82"
"SCHC","Schwab International Small-Cap Eq ETF","2.53%","12.33%","29.38%","-18.63%","-22.40%","0.21","0.31","0.80"
"SCHX","Schwab US Large-Cap ETF","10.59%","11.16%","21.94%","-4.53%","-13.60%","0.90","1.43","1.00"
"SCHA","Schwab US Small-Cap ETF","7.12%","15.09%","19.96%","-11.77%","-21.75%","0.49","0.73","0.91"
"SCHP","Schwab US TIPS ETF","2.22%","3.71%","4.64%","-1.78%","-4.73%","0.44","0.71","0.09"
"EBND","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF","-0.47%","9.72%","13.93%","-13.48%","-21.52%","-0.07","-0.09","0.33"
"VNQI","Vanguard Global ex-US Real Est ETF","5.70%","12.41%","26.93%","-9.42%","-15.54%","0.46","0.71","0.66"
"VOO","Vanguard S&P 500 ETF","10.69%","11.13%","21.77%","-4.50%","-13.47%","0.91","1.45","0.99"

"Monthly Correlations"

"Ticker","Name","CASHX","SCHH","IEMG","IAU","SCHE","FNDE","FNDF","FNDC","FNDX","FNDA","SCHR","SCHF","SCHC","SCHX","SCHA","SCHP","EBND","VNQI","VOO","Portfolio 1"
"CASHX","Cash","-","0.00","0.03","0.04","0.04","0.04","0.00","-0.09","-0.01","-0.03","0.05","0.01","-0.04","0.01","-0.01","0.02","0.06","0.07","0.00","-0.00"
"SCHH","Schwab US REIT ETF","0.00","-","0.32","0.05","0.31","0.19","0.32","0.39","0.51","0.55","0.34","0.37","0.36","0.53","0.54","0.51","0.25","0.54","0.52","0.53"
"IEMG","iShares Core MSCI Emerging Markets ETF","0.03","0.32","-","0.21","0.99","0.94","0.81","0.81","0.65","0.52","-0.01","0.83","0.80","0.66","0.51","0.37","0.80","0.90","0.66","0.81"
"IAU","iShares Gold Trust","0.04","0.05","0.21","-","0.22","0.27","0.02","0.03","-0.15","-0.15","0.50","-0.00","0.09","-0.15","-0.14","0.52","0.44","0.21","-0.16","0.01"
"SCHE","Schwab Emerging Markets Equity ETF","0.04","0.31","0.99","0.22","-","0.94","0.79","0.78","0.65","0.51","-0.03","0.81","0.77","0.66","0.50","0.35","0.82","0.88","0.66","0.80"
"FNDE","Schwab Fundamental Emerg Mkts Lg Co ETF","0.04","0.19","0.94","0.27","0.94","-","0.76","0.72","0.59","0.47","-0.10","0.75","0.71","0.57","0.44","0.34","0.83","0.78","0.57","0.75"
"FNDF","Schwab Fundamental Intl Lg Co ETF","0.00","0.32","0.81","0.02","0.79","0.76","-","0.93","0.79","0.66","-0.27","0.98","0.91","0.81","0.65","0.20","0.61","0.78","0.80","0.91"
"FNDC","Schwab Fundamental Intl Sm Co ETF","-0.09","0.39","0.81","0.03","0.78","0.72","0.93","-","0.78","0.72","-0.23","0.96","0.98","0.82","0.73","0.22","0.55","0.80","0.81","0.92"
"FNDX","Schwab Fundamental US Large Company ETF","-0.01","0.51","0.65","-0.15","0.65","0.59","0.79","0.78","-","0.90","-0.36","0.80","0.76","0.97","0.88","0.05","0.36","0.64","0.97","0.94"
"FNDA","Schwab Fundamental US Small Company ETF","-0.03","0.55","0.52","-0.15","0.51","0.47","0.66","0.72","0.90","-","-0.33","0.68","0.72","0.88","0.99","0.06","0.23","0.52","0.87","0.88"
"SCHR","Schwab Intermediate-Term US Trs ETF","0.05","0.34","-0.01","0.50","-0.03","-0.10","-0.27","-0.23","-0.36","-0.33","-","-0.22","-0.21","-0.29","-0.30","0.76","0.16","0.14","-0.29","-0.23"
"SCHF","Schwab International Equity ETF","0.01","0.37","0.83","-0.00","0.81","0.75","0.98","0.96","0.80","0.68","-0.22","-","0.94","0.84","0.68","0.22","0.60","0.83","0.83","0.93"
"SCHC","Schwab International Small-Cap Eq ETF","-0.04","0.36","0.80","0.09","0.77","0.71","0.91","0.98","0.76","0.72","-0.21","0.94","-","0.80","0.73","0.23","0.54","0.80","0.79","0.91"
"SCHX","Schwab US Large-Cap ETF","0.01","0.53","0.66","-0.15","0.66","0.57","0.81","0.82","0.97","0.88","-0.29","0.84","0.80","-","0.87","0.10","0.35","0.67","1.00","0.94"
"SCHA","Schwab US Small-Cap ETF","-0.01","0.54","0.51","-0.14","0.50","0.44","0.65","0.73","0.88","0.99","-0.30","0.68","0.73","0.87","-","0.07","0.20","0.51","0.86","0.87"
"SCHP","Schwab US TIPS ETF","0.02","0.51","0.37","0.52","0.35","0.34","0.20","0.22","0.05","0.06","0.76","0.22","0.23","0.10","0.07","-","0.42","0.49","0.09","0.23"
"EBND","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF","0.06","0.25","0.80","0.44","0.82","0.83","0.61","0.55","0.36","0.23","0.16","0.60","0.54","0.35","0.20","0.42","-","0.73","0.36","0.55"
"VNQI","Vanguard Global ex-US Real Est ETF","0.07","0.54","0.90","0.21","0.88","0.78","0.78","0.80","0.64","0.52","0.14","0.83","0.80","0.67","0.51","0.49","0.73","-","0.67","0.80"
"VOO","Vanguard S&P 500 ETF","0.00","0.52","0.66","-0.16","0.66","0.57","0.80","0.81","0.97","0.87","-0.29","0.83","0.79","1.00","0.86","0.09","0.36","0.67","-","0.94"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"CASHX","Cash","$29.58"
"SCHH","Schwab US REIT ETF","$190"
"IEMG","iShares Core MSCI Emerging Markets ETF","$62.58"
"IAU","iShares Gold Trust","$16.12"
"SCHE","Schwab Emerging Markets Equity ETF","$10.95"
"FNDE","Schwab Fundamental Emerg Mkts Lg Co ETF","$117"
"FNDF","Schwab Fundamental Intl Lg Co ETF","$176"
"FNDC","Schwab Fundamental Intl Sm Co ETF","$131"
"FNDX","Schwab Fundamental US Large Company ETF","$809"
"FNDA","Schwab Fundamental US Small Company ETF","$428"
"SCHR","Schwab Intermediate-Term US Trs ETF","$27.52"
"SCHF","Schwab International Equity ETF","$135"
"SCHC","Schwab International Small-Cap Eq ETF","$74.97"
"SCHX","Schwab US Large-Cap ETF","$455"
"SCHA","Schwab US Small-Cap ETF","$265"
"SCHP","Schwab US TIPS ETF","$24.95"
"EBND","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF","-$0.76"
"VNQI","Vanguard Global ex-US Real Est ETF","$69.56"
"VOO","Vanguard S&P 500 ETF","$241"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"CASHX","Cash","-0.00%"
"SCHH","Schwab US REIT ETF","2.52%"
"IEMG","iShares Core MSCI Emerging Markets ETF","3.14%"
"IAU","iShares Gold Trust","0.03%"
"SCHE","Schwab Emerging Markets Equity ETF","0.52%"
"FNDE","Schwab Fundamental Emerg Mkts Lg Co ETF","6.62%"
"FNDF","Schwab Fundamental Intl Lg Co ETF","13.31%"
"FNDC","Schwab Fundamental Intl Sm Co ETF","5.28%"
"FNDX","Schwab Fundamental US Large Company ETF","17.53%"
"FNDA","Schwab Fundamental US Small Company ETF","13.96%"
"SCHR","Schwab Intermediate-Term US Trs ETF","-0.16%"
"SCHF","Schwab International Equity ETF","8.58%"
"SCHC","Schwab International Small-Cap Eq ETF","4.51%"
"SCHX","Schwab US Large-Cap ETF","8.11%"
"SCHA","Schwab US Small-Cap ETF","8.58%"
"SCHP","Schwab US TIPS ETF","0.18%"
"EBND","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF","1.08%"
"VNQI","Vanguard Global ex-US Real Est ETF","1.97%"
"VOO","Vanguard S&P 500 ETF","4.23%"

"Rolling Returns"

"Year","Portfolio 1 3-year annualized return","Portfolio 1 5-year annualized return"
"2016","3.85%","N/A"
"2017","8.62%","N/A"
"2018","6.32%","3.76%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"The annual results for 2019 are based on full calendar months from January to March"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns excluding cashflows"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
"The results use total return and assume that all received dividends and distributions are reinvested. Taxes and transaction fees are not included"
"Portfolio cashflows and rebalancing for quarterly and annual periods are aligned with calendar periods."
"Fund fundamentals data as of 04/03/2019. (c) 2019 Morningstar. All Rights Reserved. The fund fundamentals information contained herein: (1) is proprietary to Morningstar and/or its content providers; (2) may not be copied or distributed; and (3) is not warranted to be accurate, complete or timely. Neither Morningstar nor its content providers are responsible for any damages or losses arising from any use of this information."
